2026-02-13 21:59:31,Los Angeles,31\u00baC
2026-02-13 21:59:32,Los Angeles,18\u00baC
2026-02-13 21:59:33,Chicago,20\u00baC
2026-02-13 21:59:34,Seattle,24\u00baC
2026-02-13 21:59:35,Los Angeles,30\u00baC
2026-02-13 21:59:36,Washington DC,24\u00baC
2026-02-13 21:59:37,Miami,20\u00baC
2026-02-13 21:59:38,Seattle,25\u00baC
2026-02-13 21:59:39,Miami,19\u00baC
2026-02-13 21:59:40,Washington DC,28\u00baC
2026-02-13 22:43:07,Miami,20\u00baC
2026-02-13 22:43:08,Los Angeles,23\u00baC
2026-02-13 22:43:09,Seattle,25\u00baC
2026-02-13 22:43:10,Los Angeles,32\u00baC
2026-02-13 22:43:11,Miami,27\u00baC
2026-02-13 22:43:12,Miami,26\u00baC
2026-02-13 22:43:13,Chicago,32\u00baC
2026-02-13 22:43:14,Seattle,31\u00baC
2026-02-13 22:43:15,Seattle,20\u00baC
2026-02-13 22:43:16,Seattle,30\u00baC
2026-02-13 21:59:31,Los Angeles,31\u00baC
2026-02-13 21:59:32,Los Angeles,18\u00baC
2026-02-13 21:59:33,Chicago,20\u00baC
2026-02-13 21:59:34,Seattle,24\u00baC
2026-02-13 21:59:35,Los Angeles,30\u00baC
2026-02-13 21:59:36,Washington DC,24\u00baC
2026-02-13 21:59:37,Miami,20\u00baC
2026-02-13 21:59:38,Seattle,25\u00baC
2026-02-13 21:59:39,Miami,19\u00baC
2026-02-13 21:59:40,Washington DC,28\u00baC
2026-02-13 22:43:07,Miami,20\u00baC
2026-02-13 22:43:08,Los Angeles,23\u00baC
2026-02-13 22:43:09,Seattle,25\u00baC
2026-02-13 22:43:10,Los Angeles,32\u00baC
2026-02-13 22:43:11,Miami,27\u00baC
2026-02-13 22:43:12,Miami,26\u00baC
2026-02-13 22:43:13,Chicago,32\u00baC
2026-02-13 22:43:14,Seattle,31\u00baC
2026-02-13 22:43:15,Seattle,20\u00baC
2026-02-13 22:43:16,Seattle,30\u00baC
2026-02-13 23:03:27,Seattle,27\u00baC
2026-02-13 23:03:28,Los Angeles,24\u00baC
2026-02-13 23:03:29,Chicago,23\u00baC
2026-02-13 23:03:30,Miami,20\u00baC
2026-02-13 23:03:31,Chicago,20\u00baC
2026-02-13 23:03:32,Los Angeles,19\u00baC
2026-02-13 23:03:33,Chicago,30\u00baC
2026-02-13 23:03:34,Chicago,25\u00baC
2026-02-13 23:03:35,Washington DC,26\u00baC
2026-02-13 23:03:36,Los Angeles,24\u00baC
2026-02-13 23:16:07,Phoenix,24\u00baC
2026-02-13 23:16:08,Phoenix,26\u00baC
2026-02-13 23:16:09,Washington DC,27\u00baC
2026-02-13 23:16:10,Las Vegas,27\u00baC
2026-02-13 23:16:11,Denver,21\u00baC
2026-02-13 23:16:12,Washington DC,28\u00baC
2026-02-13 23:16:13,Denver,18\u00baC
2026-02-13 23:16:14,Chicago,18\u00baC
2026-02-13 23:16:15,Miami,21\u00baC
2026-02-13 23:16:16,Denver,27\u00baC
2026-02-13 23:25:41,Los Angeles,31\u00baC
2026-02-13 23:25:42,Seattle,31\u00baC
2026-02-13 23:25:43,Miami,29\u00baC
2026-02-13 23:25:44,Seattle,20\u00baC
2026-02-13 23:25:45,Washington DC,24\u00baC
2026-02-13 23:25:46,Miami,19\u00baC
2026-02-13 23:25:47,Chicago,28\u00baC
2026-02-13 23:25:48,Washington DC,28\u00baC
2026-02-13 23:25:49,Miami,23\u00baC
2026-02-13 23:25:50,Miami,29\u00baC
2026-02-13 23:32:25,Seattle,21\u00baC
2026-02-13 23:32:26,Los Angeles,30\u00baC
2026-02-13 23:32:27,Washington DC,28\u00baC
2026-02-13 23:32:28,Seattle,24\u00baC
2026-02-13 23:32:29,Denver,28\u00baC
2026-02-13 23:32:30,Las Vegas,25\u00baC
2026-02-13 23:32:31,Phoenix,28\u00baC
2026-02-13 23:32:32,Seattle,21\u00baC
2026-02-13 23:32:33,Miami,21\u00baC
2026-02-13 23:32:34,Chicago,28\u00baC
